#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
21700.00000258587,-14309.593433524104,2666.0180541553195,294.57810745033186,10.788087814851487,1.009216788745772
21800.000002606244,-14439.351857848851,2769.6663944923725,306.03059251106436,10.576922828650327,1.0293654891496562
21900.000002626617,-14311.1630572898,2700.6817517929903,298.4082264667505,10.960472865291264,0.9933439437352671
22000.00000264699,-14317.940814474234,2776.5547395625117,306.79171100801665,10.786067678228967,1.009405806268731
22100.000002667362,-14351.76990498924,2708.9784109624075,299.32495475089615,10.92699754695537,0.9963870948470597
22200.000002687735,-14107.355984066278,2676.123686551865,295.69471581737696,10.905936380457275,0.9983112830844612
22300.000002708108,-14108.761823800975,2751.490245160347,304.0222431442559,10.706749261883608,1.016883750138032
22400.00000272848,-14074.510078712337,2849.2003221729906,314.8185877227739,11.211726697347732,0.9710831912971425
22500.000002748853,-14207.943792521924,2781.494542216259,307.33752791073834,11.150158207825525,0.9764452789172634
22600.000002769226,-14324.63884431521,2710.86255032934,299.5331402161141,10.886426974170531,1.0001003421089278
22700.0000027896,-14174.302887675949,2800.3730019999916,309.42347813376904,11.031419371108798,0.9869554383659945
22800.00000280997,-14186.105835232811,2784.3882742473206,307.65726697021313,11.04348734027623,0.9858769250818447
22900.000002830344,-14334.74059976438,2673.1002449263774,295.3606446693461,11.043441829020956,0.9858809879905917
23000.000002850717,-14230.504539314483,2671.244844292457,295.15563465208436,10.968532472981094,0.9926140409422276
23100.00000287109,-14297.42938601297,2707.6111653301805,299.17388276916915,10.89355849126055,0.9994456219192667
23200.000002891462,-14363.155472501436,2796.0591122134297,308.94682063811024,11.087521037621345,0.981961549770151
23300.000002911835,-14389.839360147816,2756.5014335068277,304.5759477138415,10.785524360511218,1.0094566547987247
23400.000002932207,-14201.751929766906,2641.184942461929,291.8342059102279,10.940155912142247,0.9951886818292947
23500.00000295258,-14139.572121412777,2935.3202063406484,324.3342894084431,11.098956181161208,0.9809498446071637
23600.000002972953,-14302.372410417694,2780.7896832490214,307.25964545969316,10.771095034616453,1.0108089573271044
23700.000002993325,-14179.748008206894,2677.873881129186,295.8881012317981,10.948544043481597,0.9944262267176865
23800.000003013698,-14392.193405886712,2720.0002486916187,300.54279800362104,10.891158339516663,0.9996658759159115
23900.00000303407,-14210.179449086972,2631.0056892216758,290.70946290629445,10.771746387472447,1.0107478350840124
24000.000003054443,-14258.908685661125,2601.3940021033295,287.4375590509781,11.036054257089319,0.9865409400481975
24100.000003074816,-14137.696197057921,2617.464675077238,289.21326661707224,10.966714015022278,0.9927786323504024
24200.00000309519,-14457.832758293756,2792.213389114729,308.52189259592103,10.692428530736487,1.0182456969354075
24300.00000311556,-14292.55211866647,2809.9711738116102,310.4840153206207,10.882512547930656,1.0004600769591674
24400.000003135934,-14179.120351521786,2866.7988555290563,316.76311418306966,11.03163202787468,0.9869364128264314
24500.000003156307,-14396.773603936352,2831.8740011573555,312.90413900180306,10.874624651573662,1.0011857595136655
24600.00000317668,-14089.747618339621,2679.6839187304327,296.0880989212954,10.992731262911297,0.9904289553539376
24700.000003197052,-13995.81770824689,2823.703569529496,312.001358061428,11.340388094678527,0.960065850508306
24800.000003217425,-14454.650574301537,2679.836836098854,296.10499532187134,10.935161521612727,0.9956432120086421
24900.000003237798,-14220.847619600012,2850.844996299875,315.0003137958269,10.931937208791615,0.9959368713219388
25000.00000325817,-14347.503341504991,2640.6251399337266,291.7723512768556,10.833709455441122,1.004966893933422
25100.000003278543,-14266.180804689342,2849.6983787758472,314.8736198225168,10.963747929356515,0.993047214452952
25200.000003298916,-14222.155342501894,2768.542274783561,305.9063844038262,10.819178032872191,1.0063166821113372
25300.00000331929,-14326.159327500303,2655.822145931357,293.4515241761973,10.858218603462808,1.0026984847900977
25400.00000333966,-14094.75046205624,2707.230093820382,299.13177678118285,10.945026774950202,0.9947457932336893
25500.000003360034,-14514.075926606543,2647.9372872269664,292.5802972349422,10.582739614398985,1.0287997000699267
25600.000003380406,-14136.687826640038,2769.0596845939453,305.96355491041066,10.903811997919945,0.998505783416731
25700.00000340078,-14371.49706288612,2733.738732088639,302.0608133944111,10.931251286905521,0.9959993650730453
25800.00000342115,-14108.624235030387,2671.689772634096,295.2047964154965,10.928593236089819,0.9962416118899574
25900.000003441524,-14493.000318644066,2708.66440043139,299.29025857627636,10.79439108003224,1.0086274677736886
26000.000003461897,-14224.796057442662,2710.601320107616,299.5042759313414,11.213662282254868,0.9709155730898757
26100.00000348227,-14329.475022615654,2754.689052521439,304.3756910952403,10.733840190937567,1.0143172571549919
26200.000003502642,-14270.665253304978,2762.300547951343,305.2167131262477,10.974760353472794,0.9920507592465672
26300.000003523015,-14162.782363231454,2766.0938466788034,305.63584860749,11.008770321923386,0.9889859650836649
26400.000003543388,-14181.70420155819,2740.329918678838,302.7890977616406,10.942943861454335,0.9949351361987923
26500.00000356376,-14386.092101142909,2703.5352382315186,298.7235186431806,10.717272942893992,1.0158852349123662
26600.000003584133,-14258.329134804728,2649.7703808567585,292.7828424695484,11.091664774553522,0.9815946985875318
26700.000003604506,-14264.378517983525,2652.8520824172247,293.1233509713547,10.99322832994982,0.9903841723681823
26800.00000362488,-13971.558756435727,2665.775326610019,294.5512875941012,11.013941984682537,0.9885215807703954
26900.00000364525,-14309.254326106558,2593.7574996767976,286.5937739052468,11.129517808953882,0.978256158811536
27000.000003665624,-14489.631308573851,2695.4052922777073,297.8252111133369,10.856148253246795,1.0028897070335818
